2018-04-10 14:35:21,799 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-04-10 14:35:21,805 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2018-04-10 14:35:22,140 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-04-10 14:35:22,468 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-04-10 14:35:22,476 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-04-10 14:35:22,476 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2018-04-10 14:35:22,565 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input?noop=true
2018-04-10 14:35:22,566 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-04-10 14:35:22,572 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.773 seconds
2018-04-10 14:35:24,573 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-04-10 14:35:24,576 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-04-10 14:35:24,583 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2018-04-10 14:35:24,583 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-04-10 14:35:24,604 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 2.811 seconds
2018-04-10 14:35:24,605 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.032 seconds
2018-04-10 14:40:16,134 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-04-10 14:40:16,171 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2018-04-10 14:40:16,995 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-04-10 14:40:17,650 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-04-10 14:40:17,662 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-04-10 14:40:17,662 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2018-04-10 14:40:17,940 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input?noop=true
2018-04-10 14:40:17,944 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-04-10 14:40:17,972 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 1.833 seconds
